pegon,latin
ڮَاوَىْ,gawe
ڮَيْرَىْ٢,gere2
جَبَاڠْ,jabaṅ
بَايِىْ,bayi
اِسِيْه,isih
كَنْࢮُوْتَانَىْ,kanḍutane
اَنْࢮَاوُوْهَاكَىْ,anḍawuhake
بَيْسُؤْ,besu`
لَاهِيْر,lair
بُوَاڠْ,buaṅ
سَمُوْدࣤرَا,samuděra
تࣤمࣤنَانْ,těměnan
بَارࣤڠْ,barěṅ
وَاࢮَاهِىْ,waḍahi
فࣤطِىْ,pěṯi
سࣤڮَارَا,sěgara
اِيْسِىْ,isi
كࣤلَيْمبَاءْ٢,kělemba`2
كِيْسِيْئ,kisi
تࣤمُوْ,těmu
بَؤْرَوْنࢮَا,ba`ronḍa
فَنَاتِيْه,fanatih
دُوْمَادَاءَانْ,dumada`an
اِيْسِيْنَىْ,isine
اِيْسِيْه,isih
سࣤڮࣤرْ,sěgěr
تُورْ,tur
رࣤسِئْ,rěsi`
بَؤرَوْنࢮَا,boronḍa
بُوْڠَهْ,buṅah
رُوْمَاتْ,rumat
رࣤڠْڮَا٢,rěṅga2
اَسْمَانِىْ,asmani
مِيْتُوْرُوْت,miturut
اِيْجَيْن,ijen
ࢮَيْرَيْكَاكَىْ,ḍerekake
بَالِيْكْ,balik
مَوْلاَنَا,molana
كُونْدُوْر,kundur
مࣤۑَاڠْ,měñaṅ
نࣤڮَارَانَىْ,něgarane
فَاسِئْ,fasi`
نُولِىْ,nuli
اَنْࢮَاوُوْهِىْ,anḍawuhi
مَارَاڠْ,maraṅ
نُوْسُوْلْ,nusul
مِيْسَانَانَىْ,misanane
سَيْدَا,seda
وَالِىْ,wali
سَيْدَانَىْ,sedane
عَمْفَيلْ,'amfel
نمر,namar
جࣤجُوْلُوْء,jějulu`
دَائِرَةْ,dairah
ڮِيْرِىْ,giri
دࣤرْمَايُوْ,děrmayu
ڮُونُوْڠ,gunuṅ
مُوْريَا,murya
٦,6
٧,7
٨,8
مَنْۑُوْرَانْ,manñuran
٩,9
١٠,10
ڠُوْࢮُوْڠ,ṅuḍuṅ
جِيْفَاڠْ,jifaṅ
فَنَوْلَانْ,panolan
١١,11
جَكَنْدَارْ,jakandar
بَاڠْكَالَانْ,baṅkalan
مَادُوْرَا,madura
١٢,12
كَرْطَايَاسَا,karṯayasa
١٣,13
١٤,14
١٥,15
الْجَلِيْل,al-jalil
١٦,16
كَچَارِيْطَا,kacariṯa
عَمْفَيْل,'amfel
سࣤفِيْسَانْ,sěpisan
كࣤسࣤبُوْت,kěsěbut
مَاهُوْ,mau
مُشَاوَرَةْ,muśawarah
ڠࣤرࣤمْبُوْكْ,ṅěrěmbuk
سَفَا,sapa
تࣤتࣤفَاكَىْ,tětěfake
فُوْتُوْسَاكَىْ,putusake
اِيْڠڮَالْ٢,iṅgal2
سَنْتࣤرِيْنَىْ,santěrine
اَيْوَوْن,ewon
جَمَالُ,jamalu
الدِّيْن,ad-din
الْيَقِيْن,al-yaqin
قُدُسْ,qudus
جَعْفَرْ,ja'far
صَادِقْ,ṣadiq
شَرِيْف,śarif
هِدَايَةُ,hidayatu
السُّلْطَانْ,as-sulṯan
عِمَادُ,'imadu
اِبْنُ,ibnu
نَجْمِ,najmi
بركات,brkat
شَاهْ,śah
خَانْ,ḵan
المَلِكْ,al-malik
عَلْوِىْ,'alwi
عَلِىْ,'ali
اَحْمَدَ,aẖmada
المُهَاجِرِ,al-muhajiri
الْفَقِيْهِ,al-faqihi
الْمُقَدِّمْ,al-muqaddim
اِبْن,ibn
عِيْسَى,'isa
الْبَصَرِىْ,al-baṣari
الرُّوْمِىْ,ar-rumi
الْعَرِيْضِى,al-'ariḏi
جَعْفَرِ,ja'fari
الصَّادِقْ,aṣ-ṣadiq
مُحَمَّدِ,muẖammadi
الْبَاقِرْ,al-baqir
الْعَابِدِيْن,al-'abidin
الْاِمَامِ,al-imami
وَابْنِ,wabni
فَاطِمَةَ,faṯimata
الزَّهْرَاءِ,az-zahra`i
اللّٰهِ,allāhi
مࣤلࣤبُوْنَىْ,mělěbune
كُونْدُوْرَىْ,kundure
اِلَى,ila
الرَّفِيْقِ,ar-rafiqi
الْاَعْلٰى,al-a'lā
تَڠْڮَالْ,taṅgal
يُوْنِىْ,yuni
٦٣٣,633
صَحَابَةْ,ṣaẖabat
تَابِعِيْن,tabi'in
فࣤرْجُوَاڠَانَىْ,pěrjuaṅane
ۑِيَارْ٢رَاكࣤنْ,ñiar2rakěn
سࣤمِيَارْ,sěmiar
سَاءْاندڠيڠ,sa`andṅiṅ
دُنْيَا,dunya
تَاهُوْ,tau
ڠَالَامِىْ,ṅalami
زَمَانْ,zaman
كَااࣤمَاسَانْ,kaěmasan
اُمَّةْ,ummah
كَاجَيْن,kajen
كَيْرِيْڠَانْ,keriṅan
مُبَلِّغْ٢لَنْ,muballiġ2lan
فࣤڠَنْجُورْ٢,pěṅanjur2
اَكَيْه,akeh
ڠࣤلࣤلَانَا,ṅělělana
ۑِيَارَاكࣤنْ,ñiarakěn
ࢮَائِرَهْ٢,ḍairah2
كࣤتِڠْڮَالَنْ,kětiṅgalan
بَاڮَيْهَانْ,bagean
مُبَلِّغْ٢,muballiġ2
اُوْلُوْڠ,uluṅ
كَيَاطَا,kayaṯa
اَلشَّرِيْف,aś-śarif
لِيَا٢نَىْ,lia2ne
مَانَيْه,maneh
كَابَيْه,kabeh
وَالِىْ٢لَنْ,wali2lan
عُلَمَاءْ,'ulama`
تࣤكَا,těka
تُوْجُوْهَانَىْ,tujuhane
اُوْفَمَا,upama
دَاڮَاڠْ,dagaṅ
كَاڠْڮَوْ,kaṅgo
سِتِرْ,sitir
تُوْتُوْف,tutup
ڠِيْسَوْر,ṅisor
چَارَانَىْ,carane
فࣤرَكْتِيْس,pěraktis
تَبْلِيْغِىْ,tabliġi
دِيْسِئْ,disi`
سࣤمَوْڠصَا,sěmoṅṣa
ڮࣤࢮَىْ,gěḍe
چِيْلِيئْ,cili`
تࣤمْتُوْ,těmtu
كَارِىْ,kari
مَانُوْت,manut
فࣤڠَنْجُوْر,pěṅanjur
سࣤمَوْنَا,sěmona
اُوْلࣤتْ,ulět
رَيْوَاڠِىْ,rewaṅi
طَاڤَا,ṯapa
اُوْسَهَا,usaha
تُوْمُوْجُوْ,tumuju
اِيْڠڮَالَىْ,iṅgale
فَدَا,pada
اَڠْڮَڠْڮُوْ,aṅgaṅgu
رَاتُوْ٢,ratu2
اَتُوْرِىْ,aturi
مَنْجِيْڠ,manjiṅ
مُوْلَا,mula
لُوْمُوْه,lumuh
سُوْڠكَنْ,suṅkan
كࣤرْطَا,kěrṯa
مَڠْسُوْلِىْ,maṅsuli
ࢮَاوُوْه,ḍawuh
سَاءْ,sa`
بࣤنࣤرَىْ,běněre
اِڠْسُنْ,iṅsun
رَاسَاءْ٢أَكَىْ,rasa`2ake
نَڠِيْڠ,naṅiṅ
بَاهَىْ,bahe
كَافࣤكْصَا,kapěkṣa
نِيْڠڮَالَاكࣤنْ,niṅgalakěn
فࣤلُوكْ,pěluk
وِيْوِيْتْ,wiwit
تِيْمُورْ,timur
رُوْڠكࣤبِىْ,ruṅkěbi
اِيْيَاڠْ٢اِڠْسُنْ,iaṅ2iṅsun
مَاهَوْس,maos
ڠࣤرَاسَاءَاكَىْ,ṅěrasa`ake
نَسَبْ٢بَىْ,nasab2be
فࣤڠَنْجُورْ٢كَڠْ,pěṅanjur2kaṅ
تࣤمْتُوْنَىْ,těmtune
بَنْجُورْ,banjur
اَمْبَايَاڠَاكَىْ,ambayaṅake
كَافࣤرِيْيَىْ,kapěriye
كࣤڮِيْيَاتَانَىْ,kěgiatane
اَلُوْسَىْ,aluse
تَكْتِيْكَىْ,taktike
فࣤڠَنْجُورْ٢مَاهُوْ,pěṅanjur2mau
مَنْتُوْ,mantu
فࣤڠَنْجُورْ,pěṅanjur
اَنَيْه,aneh
خُصُوْصَىْ,ḵuṣuṣe
اِڠْڮَالْ,iṅgal
سࣤمِيْيَارْ,sěmiar
لُوْوَاسْ,luas
بࣤرَاوِيْجَايَا,běrawijaya
ڠُودُوْڠ,ṅuduṅ
چࣤكَاءْ,cěka`
لࣤڠْڮَاهَىْ,lěṅgahe
فࣤڠَارُوْهَىْ,pěṅaruhe
ڮࣤنَهْ,gěnah
وُوْسْ,wus
مَجَافَهِيْت,majafait
فࣤرْنَاهَىْ,pěrnahe
مِيْسَانَانْ,misanan
كࣤنْࢮُوتَنْ,kěnḍutan
كࣤدَادِيْيَانْ,kědadian
سِيْطِئْ,siṯi`
اَنْتَرَانَىْ,antarane
لِيْوَاتْ,liwat
فࣤرْكَرَانَىْ,pěrkarane
مࣤرْڮَا,měrga
چࣤمْفَا,cěmfa
ڠَنْࢮُوْتْ,ṅanḍut
نࣤمࣤنْ,něměn
بࣤتَارࣤفَانَىْ,bětarěfane
كࣤبࣤنࣤرَانْ,kěběněran
فَاتِىْ٢,pati2
سُوَانْ,suan
سِيْبَا,siba
دَامَارْ,damar
مَيْلُوْ,melu
سَيْبَا,seba
ڠࣤنْدِيْكَا,ṅěndika
كَانُوْڮࣤرَاهَانْ,kanugěrahan
فَارِيْڠَاكَىْ,pariṅake
وࣤقْتُ,wěqtu
سَااِيْكِىْ,saiki
وࣤلِيْڠ,wěliṅ
اَجَا,aja
فِيْسَانْ,pisan
كُومْفُوْلِىْ,kumpuli
سَأْدُوْرُوْڠَىْ,sa`duruṅe
ڠࣤلَاهِيْرَاكَىْ,ṅělairake
مَاتُورْ,matur
سࣤنْدِيْكَا,sěndika
كَابَوْيَوْڠ,kaboyoṅ
كَافَارِيْڠَانْ,kapariṅan
حُسَينْ,ẖusen
بࣤڮَيْر,běger
مُوْلَاهِىْ,mulahi
بَفَاءْ,bapa`
طَوْه,ṯoh
مُوْلَانَىْ,mulane
تِمْبُوْل,timbul
كَيَا,kaya
مࣤڠْكَيْنَىْ,měṅkene
اَسࣤرِيْڠ,asěriṅ
كࣤتࣤرُوْچُوْت,kětěrucut
ڠُوُوهْ,ṅuwuh
اَࢮِيْمَسْ,aḍimas
مࣤڠْكَوْنَوْ,měṅkono
اࣤنْࢮࣤمْ,ěnḍěm
سُوُوْنَاكَىْ,suwunake
فِيْرصَا,pirṣa
سَيَا,saya
تَمْبَهْ,tambah
رُوْوࣤتَىْ,ruwěte
فࣤڠْڮَالِيْهَىْ,pěṅgalihe
ۑُوُوْن,ñuwun
مُوُوْنْ,muwun
كَامِىْ,kami
سࣤسࣤڮࣤنْ,sěsěgěn
مَارَمْبَهْ,marambah
رَمْبَهْ,rambah
اَڠْڮَوْنَىْ,aṅgone
اَنْࢮࣤࢮࣤسْ,anḍěḍěs
مࣤكْصَا,měkṣa
كࣤرْصَاوَالِيْه,kěrṣawalih
سَأْلُوڮُوْنَىْ,sa`lugune
كَجَبَا,kajaba
كَاوࣤتُوْ,kawětu
ڠࣤنْدِيْكَانْ,ṅěndikan
كُوَاتِيرْ,kuatir
لَمُونْ,lamun
طَا,ṯa
لَاهِيْرَاكَىْ,lairake
وَالِيْهَىْ,walihe
كࣤرَاسَىْ,kěrase
مَڠْكَوْنَوْ,maṅkono
اَنْدَادَيْكَاكَىْ,andadekake
فࣤرِيْهَاتِيْنَىْ,pěrihatine
ࢮَاهَارْ,ḍahar
سَارَىْ,sare
بَاڠࣤتَىْ,baṅěte
كَاهَنَانَىْ,kahanane
وࣤلَاسْ,wělas
مِرْسَانِىْ,mirsani
فࣤرِيْهَاتِيْن,pěrihatin
ࢮَاوُوْهِىْ,ḍawuhi
وَالِيْه,walih
ۑࣤرِيْتَاءَاكَىْ,ñěrita`ake
سࣤكَابَيْهَانَىْ,sěkabehane
لࣤلَاكَوْنَىْ,lělakone
بَوْيَوْڠ,boyoṅ
نَڮَارَا,nagara
مِيْࢮَاڠࣤتَاكࣤنْ,miḍaṅětakěn
مَنْطُؤْ٢,manṯu`2
ࢮࣤرَيْنࢮَيْلَانْ,ḍěrenḍelan
اࣤلُوْه,ěluh
سَوْچَانَىْ,socane
رَامْفُوْڠ,rampuṅ
مِيْࢮَاڠࣤتَاكَىْ,miḍaṅětakě
فࣤڠࣤنْدِيْكَانَىْ,pěṅěndikane
ࢮُوْه,ḍuh
مࣤنَاوِىْ,měnawi
مࣤكَاتࣤنْ,měkatěn
دَالࣤمْ,dalěm
فَالِيْلِهْ,palilih
سَرْطَااِدِىْ,sarṯaidi
فَاڠَيْستُوْنِيْفُوْن,paṅestunipun
كࣤفَارࣤڠَا,kěparěṅa
ڠُوْلَاتِىْ,ṅulati
وَوْنتࣤنَا,wontěna
فُونْدِىْ,pundi
كَيْمَاوَوْن,kemawon
بَاࢮَىْ,baḍe
وَاڠْسُوْل,waṅsul
سَأْدَيْرَيْڠ,sa`dereṅ
سَاڮࣤدْ,sagěd
فِيْنَاڠْڮِيْه,pinaṅgih
كَلَايَانْ,kalayan
فࣤڠُوْنَنْدِيْكَانَىْ,pěṅunandikane
اࣤڠْڮَيْر,ěṅger
چُوْوِيْلَانَىْ,cuwilane
سࣤنَجَانْ,sěnajan
اَبَوْت,abot
رَاسَانَىْ,rasane
ڮَايَا,gaya
كࣤدࣤرࣤڠِيْڠ,kěděrěṅiṅ
اِيْرَا,ira
كࣤفࣤكْصَا,kěpěkṣa
فَارِيْڠ,pariṅ
فَلِيْلِهْ,palilih
مَرَاڠْ,maraṅ
وَاڠْسِيْتْ,waṅsit
فُوْمَادِىْ,pumadi
فُوْمَا,puma
اَنْجُوْجُوْڮَا,anjujuga
دنطا,dnṯa
دِيْڠِيْن,diṅin
دَادِيْيَا,dadia
سَاوَاتَارَا,sawatara
ۑُوِيْتَا,ñuwita
سَادُوْلُورْ,sadulur
وَاسِطَا,wasiṯa
اَيْنتُؤْ,entu`
فِيْوُوْلَاڠْ,piwulaṅ
اُوْتَمَا,utama
اَنْدࣤدَوْڠَا,andědoṅa
مُوْڮَا٢,muga2
مَقْصُوْد,maqṣud
بࣤچِئْ٢,běci`2
كِيْنَابُوْلَاكࣤنْ,kinabulakěn
مُوْربَيْڠ,murbeṅ
دُوْمَادِىْ,dumadi
رَايِىْ,rayi
اَيَا,aya
رَاكَا,raka
تِيْندَاءْ,tinda`
لࣤلَانَا,lělana
اِذِنْ,iḋin
اَنْࢮَيْرَيْكْ,anḍerek
رِيْڠكࣤسِيْڠ,riṅkěsiṅ
كَارَوْ٢نَىْ,karo2ne
سَتࣤرِيْيَا,satěria
اِذِيْنَاكَىْ,iḋinake
تِنْدَاءْ,tinda`
سَاتࣤرِيْيَا,satěria
لَوْرَوْ٢فِيْسَانْ,loro2pisan
بُوْࢮَالْ,buḍal
ڠࣤنࣤرْ,ṅěněr
اِڠْڮَالِيْڠ,iṅgaliṅ
چَرِيْطَا,cariṯa
سَاكࣤلَوْرَوْن,sakěloron
تَوْمفَا,tomfa
اُوْلَاڠْ,ulaṅ
ڠَاجِىْ,ṅaji
عَقَائِدْ,'aqaid
كࣤطَارَا,kěṯara
لَانْچَارْ,lancar
سِنَاهُوْ,sinau
تَهُوْنْ,taun
كࣤكَارَوْ,kěkaro
سَوْوَانْ,sowan
مَجَاڤَاهِيتْ,majapait
كࣤكَارَوْنَىْ,kěkarone
وَاڠْسِيْت,waṅsit
كُوْندُورْ,kundur
تُوتُوكْ,tutuk
اࣤڠْڮَوْنَىْ,ěṅgone
سَاوُوْسَىْ,sawuse
اَيْمُوْت,emut
وَاڠْسِيْتَىْ,waṅsite
ڮُوْرُوْنَىْ,gurune
ِاذِنْ,iḋin
كُونْدُورْ,kundur
ڠِيْڠ,ṅiṅ
رَايِيْنَىْ,rayine
ࢮَيْرَيْكْ,ḍerek
سَجَائَىْ,sajae
كࣤرَاسَانْ,kěrasan
مَجَافَاهِيْتْ,majafait
عَالِمْ,'alim
عَلَّامَةْ,'allamah
اَمَنْتُوْ,amantu
اُصُوْلَىْ,uṣule
اَڠْكَاتْ,aṅkat
دَادِىْ,dadi
اَرِيْكَالَا,arikala
وَفَاتْ,wafat
تَعْزِيَهْ,ta'ziyah
ِاڠْ,iṅ
رࣤمْبُوْكَانْ,rěmbukan
نࣤتࣤفَاكَىْ,nětěpake
ڮَنْتِيْنَىْ,gantine
مُوَافَقَةْ,muafaqat
دِىْ,di
ڠَاسْطَا,ṅasṯa
جَبَاتَنْ,jabatan
اَدِىْ,adi
ڮَانْࢮَيْڠ,ganḍeṅ
اَكَيْهَىْ,akehe
ۑُوْوِيْطَا,ñuwiṯa
اَيْوَوْن٢,ewon2
اُوْرُوْسَانْ,urusan
فࣤسَنْتࣤرَينْ,pěsantěren
كَاتࣤڠࣤنْ,katěṅěn
كَادِىْ,kadi
فَاتَيْن,paten
كَاكِيْوَا,kakiwa
فࣤرِيْنتَاهْ٢,pěrintah2
چُوْكُوْفِىْ,cukupi
چُوْرِيْڮَا,curiga
بَلَيْلَا,balela
مِيْسُوُوْرَاكَىْ,misuwurake
بࣤرَوْنتَاءْ,běronta`
مࣤرَيْنتَهَاكࣤنْ,měrentahakěn
تَاڠْڮࣤبْ,taṅgěb
كَلَا,kala
سࣤمَانَا,sěmana
سَيْنَا,sena
ۑࣤرْبُوْ,ñěrbu
ايْكُوْ,iku
تࣤمْفُوْر,těmpur
فࣤرَاجُوْرِيْت,pěrajurit
چَنْچُوْت,cancut
تَالِىْ,tali
وَوْندَا,wonda
اَمْبِيْلَانِىْ,ambilani
ڮُوْڮُورْ,gugur
مَيْࢮَانْ,meḍan
فࣤرْتࣤمْفُوْرَانْ,pěrtěmpuran
سَاوࣤنَيْهِيْڠ,sawěnehiṅ
بَاطِنْ,baṯin
كُوْدُوْ,kudu
اَمْبَالِيْلَا,ambalila
فِيْرࣤڠْ,pirěṅ
ࢮَيْوَيْئَىْ,ḍewee
مَونْࢮُوْت,monḍut
كࣤسࣤمْفَتَانْ,kěsěmpatan
ڠࣤرࣤبُوْت,ṅěrěbut
چُوْكُوفْ,cukup
بِجَكْسَنَا,bijaksana
وَاسْفَادَا,waspada
سَاكَاوِيْت,sakawit
نِيَتَىْ,niyate
نُوْلَاءْ,nula`
فࣤرْجَيَا,pěrjaya
دُوَىْ,duwe
نِيَةْ,niyat
مِيْرࣤڠْ,mirěṅ
سِيْكࣤفَىْ,sikěpe
فَاتَيْن٢,paten2
فࣤمَاڠْڮِيْه,pěmaṅgih
كَاتِمْبَاڠْ,katimbaṅ
رࣤبُوْت,rěbut
لِيَا,lia
لُوِيْه,luwih
بࣤچِئْ,běci`
رࣤبُوْتْ,rěbut
لُوِيْه٢,luwih2
كࣤرَاهَاكَىْ,kěrahake
فࣤنْجَاڮَاءَانْ,pěnjaga`an
فَاتِيْڠ,patiṅ
ڮࣤلَيْنࢮَاڠْ,gělenḍaṅ
سَوْڠكَا,soṅka
سَحَانْ,saẖan
فَرَاجُوْرِيْت,parajurit
ڠَاڠْسࣤرࣤكْ,ṅaṅsěrěk
كࣤنَادِىْ,kěnadi
اُونْدُوْرَاكَىْ,undurake
وَادِيْيَا,wadia
بَلَا,bala
اَڠْسࣤرࣤكَاكَىْ,aṅsěrěkake
هِڠْڮَا,hiṅga
ڠࣤرࣤبُوتْ,ṅěrěbut
لِيَانْ,lian
لَوْلَوسْ,lolos
كࣤࢮَاتَوْن,kěḍaton
فُوْسَاكَا٢,pusaka2
فِيْنࢮَاهْ,pinḍah
تࣤمْتُو,těmtu
سࣤرَامْبِىْ,sěrambi
سَكَانَىْ,sakane
اُوْكِيْر٢رَانْ,ukir2ran
فࣤنْࢮَافَا,pěnḍapa
كَالَا,kala
كࣤلَوَانْ,kělawan
رُوْجُوْئَىْ,rujue
كَافِيْلِيْه,kapilih
سُلْطَانْ,sulṯan
اࣤمْبَانِىْ,ěmbani
فࣤفࣤرِيْنتَهَانْ,pěpěrintahan
اَتُورْ,atur
رَاجِيْن,rajin
رُوْنتُوْت,runtut
كَاأَمَانَنْ,kaamanan
كࣤمَعْمُوْرَانْ,kěma'muran
سَمْفُرْنَاءَاكَىْ,sampurna`ake
فࣤمْبَاڠُوْنَانْ,pěmbaṅunan
ڮࣤࢮَيْن٢نَانْ,gěḍen2nan
مَسْجِدْ٢,masjid2
دࣤكَاكَىْ,děkake
ڮَوْتَوْڠ,gotoṅ
رَوْيَوْڠ,royoṅ
سَرْطَا,sarṯa
فنديڮانى,fndigan
سُوْسُوْن,susun
قُوَاةْ,quat
اَڠكَاتَانْ,aṅkatan
ࢮَارَاتْ,ḍarat
اَڠْكَاتَانْ,aṅkatan
لَاؤُتْ,laut
كࣤتِڠْڮَالَانْ,kětiṅgalan
بَارِيْسَانْ,barisan
فࣤنࣤرَاڠَانْ,pěněraṅan
مُبَلِّغِيْن,muballiġin
لُوْمَاكُوْ,lumaku
كࣤلَواَنْ,kěloan
تࣤنْتࣤرࣤمْ,těntěrěm
اَلَاڠَنْ,alaṅan
وَكِيْلِيْڠ,wakiliṅ
فࣤمࣤرِيْنتَهْ,pěměrintah
اُمَرَاءْ,umara`
مࣤلَاكُوْ,mělaku
بࣤبَارࣤڠَنْ,běbarěṅan
كࣤمَصْلَحَتَنِيْڠ,kěmaṣlaẖataniṅ
مَشَارَكَةْ,maśarakat
سَا,sa
ࢮَيْلَا,ḍela
كِيْرِيْڠَانْ,kiriṅan
مَشْهُورْ,maśhur
ِانْࢮَوْنِسِيَا,inḍonisia
كَابَيهْ,kabeh
فَࢮَاتࣤتَاءْ,paḍatěta`
سُنَةْ,sunat
كَسُلْطَنَانْ,kasulṯanan
مَادࣤكْ,maděk
١٤٧٨م,1478m
١٥١٨م,1518m
٤٠,40
مࣤنَاڠِىْ,měnaṅi
سࣤࢮَيْلَا,sěḍela
فَورْتࣤڮِيْس,fortěgis
ڤَورْتࣤڮِيْس,portěgis
ڠَلَامِىْ,ṅalami
ࢮساكَانْ,ḍsakan
دَيْنَيْڠ,deneṅ
تُرْكِىْ,turki
١٤٥٣,1453
فَوْرتࣤڮِيْس,portěgis
بࣤڠِيْس,běṅis
تِيْڠَالِىْ,tiṅali
صِفَةْ,ṣifat
مُوْسُوْهِىْ,musuhi
سَبࣤنْ٢,saběn2
فࣤرْدُوْلِىْ,pěrduli
ࢮَاسَارْ,ḍasar
تَنَاهَىْ,tanahe
لَوهْ,loh
جِيْنَاوِىْ,jinawi
كَابࣤنࣤرَانْ,kaběněran
لࣤمَهْ,lěmah
كَاڮَاوَا,kagawa
تِمْبُوْلَىْ,timbule
فࣤرْفࣤچَهَانْ,pěrpěcahan
مَڠْكَاتَىْ,maṅkate
ڠࣤمْبَانِىْ,ṅěmbani
فࣤرَاجَا,pěraja
١٥١١,1511
رࣤبُوتْ,rěbut
فࣤمِيمْفِيْن٢نَىْ,pěmimpin2ne
ڠُوڠْسِىْ,ṅuṅsi
اَنْࢮَلَسْ,anḍalas
سُوْلَاوࣤسِىْ,sulawěsi
كُوَاتِيْر,kuatir
١٥١٢,1512
ڠِيْرِيْمَاكَىْ,ṅirimake
قُوَاتْ,quat
فِيْمفِيْن,pimpin
لَكْسَامَانَا,laksamana
اُوْنُوْس,unus
كَڠْڮَوْ,kaṅgo
ڠُونْدُوْرَاكَىْ,ṅundurake
فࣤفࣤرَاڠَانْ,pěpěraṅan
هَيْبَتْ,hebat
فࣤرْسࣤنْجَتَاءَانْ,pěrsěnjata`an
سَرْوَا,sarwa
مَوْدَيْرࣤنْ,moderěn
اُوْنُوسْ,unus
بَالِىْ,bali
ڠُوَاتِىْ,ṅuati
١٥١٨,1518
مَڠْكَاتْ,maṅkat
ڮَنْتِىْ,ganti
دَيْنِيڠْ,deniṅ
اُونُوْس,unus
١٥٣١,1531
سࣤفَاۑَوْل,sěpañol
ࢮَائِرَاهْ,ḍairah
فُوْلَوْ,pulo
هَلْمَا,halma
هَيْرَا,hera
جَجَاهَنْ,jajahan
مَوْدَوْت,modot
مُحَيَّاتْ,muẖayyat
اَچَيْه,aceh
كࣤرَاصَا,kěraṣa
رࣤبُوْة,rěbut
كِيَاهِىْ,kiai
فَالِيْتِيْهَانْ,palitihan
مَانْتُوْ,mantu
سࣤرَاهِىْ,sěrahi
ڠُوْسِيْر,ṅusir
١٥٢٢,1522
اُوْسِيْر,usir
سُوْنࢮَا,sunḍa
كࣤلَاڤَا,kělapa
جَاكَرْتَا,jakarta
فَتْحُ,fatẖu
ڮَڮࣤلَارْ,gagělar
١٥٧٠,1570
فَاجَاڠْ,fajaṅ
١٥٥٠,1550
كَفِيْڠ,kafiṅ
رࣤبُوْتَانْ,rěbutan
جَاكَا,jaka
تِڠْكِيْر,tiṅkir
مَنْتُوْنَىْ,mantune
فَامَانْ,paman
كَالَاهْ,kalah
كَافِيْنْࢮَاهْ,kapinḍah
فُوْصَا,puṣa
بِيْسَانَىْ,bisane
مࣤنَاڠْ,měnaṅ
جَلَارَانْ,jalaran
جَاسَانَىْ,jasane
ڠَابَيْهِىْ,ṅabehi
لَوْرْ,lor
فَاسَارْ,pasar
سُوْطَا,suṯa
ڮَانْجَارَانْ,ganjaran
ڠࣤرَيْه,ṅěreh
مَتَارَامْ,mataram
اَمْبَا,amba
لَيْلَا,lela
فُوْڠكَاسَانَىْ,puṅkasane
مَتَارَمْ,mataram
١٥٨٦م,1586m
تُورُوْنْ,turun
تُومُوْرُوْن,tumurun
اَڮُوْڠ,aguṅ
١٦١٣,1613
١٥٩٦,1596
لَوْندَا,londa
بَنْتࣤنْ,bantěn
١٦٢٧-١٦٢٩م,1627-1629m
سࣤرَاڠْ,sěraṅ
ڮَاڮَالْ,gagal
ۑࣤرَاڠْ,ñěraṅ
مَالُوْكُوْ,maluku
فَالَيمْبَاڠْ,falembaṅ
مَكَاسَرْ,makasar
فِنْتࣤرَىْ,pintěre
فࣤچَاهْ,pěcah
بࣤلَاهْ,bělah
سࣤرَاڠَانْ,sěraṅan
كَنْࢮَاسْ,kanḍas
١٦٧٨,1678
فِينْࢮَاهْ,pinḍah
كَرْطَاسُوْرَا,karṯasura
اِيْكِيْ,iki
تِيْفُوْ,tipu
مُسْلِهَتَىْ,muslihate
لَونْدَا,londa
رَيْكَا,reka
ࢮَائِرَهْ,ḍairah
بَاڮِىْ,bagi
سُوْرَاكَرْطَا,surakarṯa
جࣤنࣤڠِىْ,jěněṅi
سُسُوْهُوْنَانْ,susuhunan
فَاكُوْبُوْوَانَا,pakubuwana
ࢮَائِرهْ,ḍairh
جُوكْجَاكَرْطَا,jukjakarṯa
مَڠْكُوبُوْمِىْ,maṅkubumi
فَمَانْ,paman
ڮࣤڮࣤلَارْ,gěgělar
هَامࣤڠْكُوْبُوْوَانَا,haměṅkubuana
١٧٥٧,1757
كَفَيْرَاڠْ,kaperaṅ
كَسُوْنَانَانْ,kasunanan
مَڠْكُوْنࣤڮَارَانْ,maṅkuněgaran
ڠَايُوكْجَاكَرْطَا,ṅayukjakarṯa
كَسُلْطَانَانْ,kasulṯanan
فَاكُوْاَلَامَانْ,pakualaman
١٨١١,1811
اِيْڠڮࣤرِيْس,iṅgěris
اَنْࢮَارَاتْ,anḍarat
بࣤلَنْࢮَا,bělanḍa
ࢮࣤسࣤكْ,ḍěsěk
كَالَهْ,kalah
سࣤرَاهَاكَىْ,sěrahake
١٨١٤,1814
قَيْصَرْ,qeṣar
نَافَوْلِيُوْن,nafoliun
تَأْلُوكْ,ta`luk
جَجَهَانْ,jajahan
تِيْبَا,tiba
اِيْڠڮࣤرِيسْ,iṅgěris
بَالَيْكَاكَىْ,balekake
دِيْڤَانࣤڮَارَا,dipaněgara
١٨٢٥,1825
بࣤرَوْنتَاكْ,běrontak
فࣤرَاجُوْرِيْت٢تَىْ,pěrajurit2te
بَانْتُوْ,bantu
هَيْبَةْ,hebat
كُوَالَاهَانْ,kualahan
٢٨,28
مَارࣤتْ,marět
١٨٣٠,1830
ڠَاجَاءْ,ṅaja`
