language,pegon,latin
Jawa,نَوْفَيْمبࣤرْ,nofemběr
Jawa,١٩٤٦,1946
Jawa,سُوْرَاةْ,surat
Jawa,فࣤرْمُوَافَقَتَانْ,pěrmuafaqatan
Jawa,تَانْࢮَاتَڠَانِىْ,tanḍataṅani
Jawa,كࣤتُوَانَىْ,kětuane
Jawa,اُوْتُوْسَانْ,utusan
Jawa,سُوْتَنْ,sutan
Jawa,شَهْرِيْر,śahrir
Jawa,تَنْفَا,tanpa
Jawa,ڮُوْنَا,guna
Jawa,٢١,21
Jawa,جُوْلِىْ,juli
Jawa,١٩٤٧,1947
Jawa,رَيْفُوْبࣤلِيْكْ,repubělik
Jawa,فࣤكَالَوْڠَانْ,fěkaloṅan
Jawa,ڮࣤنْچَتَانْ,gěncatan
Jawa,سࣤنْجَاتَا,sěnjata
Jawa,لَيْرَيْن,leren
Jawa,مࣤۑࣤرَاڠْ,měñěraṅ
Jawa,دَيْوَانْ,dewan
Jawa,كَاأَمَانَانْ,kaamanan
Jawa,مࣤمْبࣤنْتُؤْ,měmběntu`
Jawa,كُوْمِيْسِىْ,kumisi
Jawa,سࣤبُوْت,sěbut
Jawa,جَانُوَارِىْ,januari
Jawa,١٩٤٨,1948
Jawa,تَنْࢮَاتَڠَانِىْ,tanḍataṅani
Jawa,كَافَلْ,kapal
Jawa,رِيْنفِيْلْ,rinfil
Jawa,تࣤرُوْسَىْ,těruse
Jawa,اَنَاءَاكَىْ,ana`ake
Jawa,مَيْسْتࣤرْ,mestěr
Jawa,شَرِيْفُ,śarifu
Jawa,اَفࣤرِيْلْ,apěril
Jawa,اُوْرَاڠْ,uraṅ
Jawa,رِيْنفِيْل,rinfil
Jawa,دَادࣤرَابَاهَىْ,daděrabahe
Jawa,اَوْلَيْهَىْ,olehe
Jawa,ڠࣤدࣤكَاكَىْ,ṅěděkake
Jawa,نࣤڮَارَا٢,něgara2
Jawa,بَوْنَيْكَا,boneka
Jawa,كَايَاطَا,kayaṯa
Jawa,سُوْمَتࣤرَا,sumatěra
Jawa,تِيْمُوْر,timur
Jawa,١٩,19
Jawa,سَيْفتَمْبࣤرْ,septamběr
Jawa,كُوْطَا,kuṯa
Jawa,مَدِيُوْن,madiun
Jawa,ڮَوْلَوْڠَانْ,goloṅan
Jawa,كُوْمِيْنِيْس,kuminis
Jawa,مُوْسَى,musa
Jawa,فࣤرࣤبُوْتَنْ,pěrěbutan
Jawa,اَنْجَالَارْ,anjalar
Jawa,مَاڮࣤتَانْ,magětan
Jawa,ڠَاوِىْ,ṅawi
Jawa,صَوْلَوْ,ṣolo
Jawa,وَانَاڮِيْرِىْ,wanagiri
Jawa,چࣤفُوْ,cěfu
Jawa,رࣤمْبَاڠْ,rěmbaṅ
Jawa,كِيَاهِىْ٢,kiai2
Jawa,فࣤمِيْمفِيْن٢,pěmimpin2
Jawa,سࣤمْبࣤلَيْه,sěmběleh
Jawa,بَرَكَهْ,barakah
Jawa,بَنْتُوَانَىْ,bantuane
Jawa,بࣤبَارࣤڠَانْ,běbarěṅan
Jawa,نَاࢮَاهِىْ,naḍahi
Jawa,كُوْردَانَىْ,kurdane
Jawa,سَيْفتَيمْبࣤرْ,seftemběr
Jawa,كࣤرُوْسُوْهَانْ,kěrusuhan
Jawa,لࣤرࣤمَّاكَىْ,lěrěmmake
Jawa,ࢮَيْسَيْمبࣤرْ,ḍesemběr
Jawa,لَافَاڠَنْ,lapaṅan
Jawa,تࣤرْبَاڠْ,těrbaṅ
Jawa,مَاڮُوَا,magua
Jawa,بَوْمْ,bom
Jawa,فࣤمِيمْفِيْن٢,pěmimpin2
Jawa,ۑِيْڠكِيْر,ñiṅkir
Jawa,دَيْصَا٢,deṣa2
Jawa,نِيْنࢮَاءَاكَىْ,ninḍa`ake
Jawa,ڮࣤرِيْليَا,gěrilya
Jawa,وَاكِيْل,wakil
Jawa,اَڮُوسْ,agus
Jawa,سَالِمْ,salim
Jawa,فَرَا,para
Jawa,فࣤمِيْمفِيْن,pěmimpin
Jawa,سِيْڠكِيْرَاكَىْ,siṅkirake
Jawa,بَڠْكَا,baṅka
Jawa,اِڠْڮَالْ٢,iṅgal2
Jawa,ضَرُوْرَةْ,ḏarurat
Jawa,مَيْستࣤرْ,mestěr
Jawa,شَفْرُ,śafru
Jawa,فࣤرَاوِيْرَا,pěrawira
Jawa,فࣤمࣤرِينْتَهَانْ,pěměrintahan
Jawa,سُوَاسَانَا,suasana
Jawa,ڮࣤنْتِيْڠ,gěntiṅ
Jawa,كَااَمَانَنْ,kaamanan
Jawa,فࣤرْكُومْفُوْلَنْ,pěrkumpulan
Jawa,بَوْڠصَا٢,boṅṣa2
Jawa,سَاءْدُنْۑَا,sa`dunña
Jawa,اَنْࢮࣤسࣤكْ,anḍěsěk
Jawa,فࣤمِيمْفِينْ٢,pěmimpin2
Jawa,اِڠْڮَالَا,iṅgala
Jawa,بَالَيْئَاكَىْ,baleake
Jawa,فࣤلُوْڠڮُوْهَانَىْ,pěluṅguhane
Jawa,اِسْتِيْمَيْوَا,istimewa
Jawa,بࣤࢮِيْلْ٢لَانْ,běḍil2lan
Jawa,مَسْئَلَهْ,masalah
Jawa,رَامْفُوْڠَاكَىْ,rampuṅake
Jawa,دَالَانْ,dalan
Jawa,ࢮَامَي,ḍame
Jawa,نُوْرُوْت,nurut
Jawa,مَيْهِىْ,mehi
Jawa,١٩٤٩,1949
Jawa,رُوْنࢮِيْڠَانْ,runḍiṅan
Jawa,وِيْوِيْتِىْ,wiwiti
Jawa,وَاكِيْلَىْ,wakile
Jawa,فَانْ,pan
Jawa,رَوْيࣤنْ,royěn
Jawa,رَيْفُوْبࣤلِيْك,repubělik
Jawa,ڮࣤرِيْلۑَا,gěrilña
Jawa,٢٣,23
Jawa,اَغُوْستُوسْ,aġustus
Jawa,كَوْنفࣤرَيْنسِىْ,konfěrensi
Jawa,مَيْجَا,meja
Jawa,بُوْندࣤرْ,bunděr
Jawa,ࢮࣤنْهَاكْ,ḍěnhak
Jawa,سࣤسࣤفُوْهِى,sěsěpuhi
Jawa,اِنْدِسࣤ,indisě
Jawa,دَيْنَى,dena
Jawa,سࣤسࣤفُوْهِىْ,sěsěpuhi
Jawa,مَنْتࣤرِىْ,mantěri
Jawa,مَرْسࣤفِيْن,marsěpin
Jawa,نَوْفِمْبࣤرْ,nofimběr
Jawa,كࣤتُوتُوْڮَانْ,kětutugan
Jawa,رُونْࢮِيْڠَانْ,runḍiṅan
Jawa,شࣤرِكَةْ,śěrikat
Jawa,بࣤنْتُؤْ,běntu`
Jawa,كُوَاسَائِىْ,kuasai
Jawa,لِيَانَىْ,liane
Jawa,اِيْرِيَانْ,irian
Jawa,كُوْلَوْن,kulon
Jawa,كࣤفُوْتُوْسَانْ,kěputusan
Jawa,سࣤرَانْتَيْئَاكَىْ,sěranteake
Jawa,جُكْجَا,jukja
Jawa,كَابِيْنَيتْ,kabinet
Jawa,بࣤنْتُوْكْ,běntuk
Jawa,٢٧,27
Jawa,دَيْسَيمْبࣤرْ,desemběr
Jawa,مَسࣤرَاهَاكَىْ,masěrahake
Jawa,كࣤدَوْلَاتَانْ,kědolatan
Jawa,اُوْفَاچَارَانَىْ,upacarane
Jawa,اَمْسࣤتࣤرْدَامْ,amsětěrdam
Jawa,ڠَاكَوْنِىْ,ṅakoni
Jawa,اَسْعَدْ,as'ad
Jawa,فَڠَسْطَا,paṅasṯa
Jawa,لࣤڠْڮَاهَانْ,lěṅgahan
Jawa,اَكَوْنِىْ,akoni
Jawa,كࣤدَوْلَاتَانَىْ,kědolatane
Jawa,كࣤسَاتُوَانْ,kěsatuan
Jawa,صِفَاتَىْ,ṣifate
Jawa,وَالِيْكْ,walik
Jawa,اَصِفَةْ,aṣifat
Jawa,دُوْمُوْڮِىْ,dumugi
Jawa,ڠࣤرِيْكِىْ,ṅěriki
Jawa,رِسَالَةْ,risalat
Jawa,فُوْڠكَاسِىْ,puṅkasi
Jawa,نِيْفُونْ,nipun
Jawa,سَلَّمَ,sallama
Jawa,وَالْحَمْدُ,wal-ẖamdu
Jawa,رَبِّ,rabbi
Jawa,الْعَالَمِيْنَ,al-'alamina
Jawa,تَمَّتْ,tammat
Sunda,اِيࣤ,iyě
Sunda,بَابْ,bab
Sunda,مࣤرْتَيْلَاكࣤنْ,měrtelakěn
Sunda,تَصَوُّفْ,taṣawwup
Sunda,اَنَسُ,anasu
Sunda,المُتَّقِيْنَ,al-muttaqina
Sunda,لِلّٰهِ,lillāhi
Sunda,رَبِّالعَالَمِيْنَ,rabbil'alamina
Sunda,اَلْحمْدُلِلّٰهِ,al-ẖamdulillāhi
Sunda,الَّذِىْ,allaḋi
Sunda,اَقَامَ,aqama
Sunda,السَّمٰوَاتِ,as-samāwati
Sunda,بِغَيْرِ,biġairi
Sunda,عِمَادٍ,'imadin
Sunda,سَدَايَا,sadaya
Sunda,فُوْجِى,puji
Sunda,كَڮُوڠَنْ,kaguṅan
Sunda,اَنُوْ,anu
Sunda,ڠَجَدِكࣤنْ,ṅajadikěn
Sunda,تُوْجُهْ,tujuh
Sunda,لَافِسْ,lapis
Sunda,لاَڠِتْ,laṅit
Sunda,اَنُو,anu
Sunda,تࣤڠَڠْڮَوْ,těṅaṅgo
Sunda,تِهَاڠْ,tihaṅ
Sunda,وَلصَّلَاةُ,waṣṣalatu
Sunda,عَلىَ,'alya
Sunda,الْمُصْطَفَى,al-muṣṯapa
Sunda,الَّذِى,allaḋi
Sunda,هُوَ,huwa
Sunda,مَشْهُوْرٌ,maśhurun
Sunda,جَامِعِ,jami'i
Sunda,الْبِلَادِ,al-biladi
Sunda,سَرࣤڠْ,sarěṅ
Sunda,سَلَامْنَا,salamna
Sunda,مُڮِى٢,mugi2
Sunda,دِلِمْفَهْكࣤنْ,dilimpahkěn
Sunda,كَا,ka
Sunda,نَبِى,nabi
Sunda,رَسُولْ,rasul
Sunda,فِلِهَنْ,pilihan
Sunda,دِ,di
Sunda,اَنْتَيْرَوْ,antero
Sunda,سَكَابَيهْ,sakabeh
Sunda,جَڮَتْ,jagat
Sunda,رَايَا,raya
Sunda,آلِهِ,ālihi
Sunda,مُحِبِّى,muẖibbi
Sunda,الْفُقَرَاءِ,al-puqara`i
Sunda,وَالْعِبَادِ,wal-'ibadi
Sunda,كَسَدَايَا,kasadaya
Sunda,كَلُوَارْڮَنَا,kaluargana
Sunda,مِكَااَسِهْ,mikaasih
Sunda,مِكَاۑَعَهْ,mikaña'ah
Sunda,كَافقِيرْ,kapqir
Sunda,كَاجَلْمَ,kajalma
Sunda,مِسْكِينْ,miskin
Sunda,عِبَادَةْ,'ibadat
Sunda,فَقَدْ,paqad
Sunda,الْعَبْدُ,al-'abdu
Sunda,الْفَقِيْرُ,al-paqiru
Sunda,الْحَقِيْرُ,al-ẖaqiru
Sunda,السَّائِل,as-sail
Sunda,الرَّاجِى,ar-raji
Sunda,اِلٰى,ilā
Sunda,رَحْمَةِ,raẖmati
Sunda,الْمَلِكِ,al-maliki
Sunda,الْفَرْدِ,al-pardi
Sunda,الصَّمَدِ,aṣ-ṣamadi
Sunda,فَقِيْرٍ,paqirin
Sunda,حُسَيْنُ,ẖusainu
Sunda,بْنُ,bnu
Sunda,سَبَعْدَ,saba'da
Sunda,تࣤڮࣤسْنَا,těgěsna
Sunda,ۑَرِيَوسْ,ñarios
Sunda,هَمْبَ,hamba
Sunda,فَقِيْر,paqir
Sunda,هِنَا,hina
Sunda,تࣤئَيَا,těaya
Sunda,دَايَا,daya
Sunda,اَڠِيْڠ,aṅiṅ
Sunda,مِهَارࣤفْ,miharěp
Sunda,فࣤرْتُلُوْڠَنْ,pěrtuluṅan
Sunda,سُبْحَانَهُ,subẖanahu
Sunda,وَتَعَالٰى,wata'alā
Sunda,مَهَا,maha
Sunda,كَوَاسَ,kawasa
Sunda,اَرِىْ,ari
Sunda,صَمَدْ,ṣamad
Sunda,فُتْرَا,putra
Sunda,ص,ṣ
Sunda,م,m
Sunda,فَقِيرْ,paqir
Sunda,إعْلَمْ,i'lam
Sunda,كَۑࣤهَوْكࣤنْ,kañěhokěn
Sunda,كُوْ,ku
Sunda,اَنْجࣤنْ,anjěn
Sunda,هَىْ,he
Sunda,طَالِبْ,ṯalib
Sunda,كِتَابْ,kitab
Sunda,دِاَتُورْ,diatur
Sunda,رَافِىْسَرࣤڠْ,rapisarěṅ
Sunda,نࣤرَاڠْكࣤنْ,něraṅkěn
Sunda,رُفِى٢,rupi2
Sunda,دِاَنْتَرَانَا,diantarana
Sunda,لَالِى,lali
Sunda,فِكِيرْ,pikir
Sunda,بࣤبࣤلْ,běběl
Sunda,عَقَلْ,'aqal
Sunda,خبل,ḵbl
Sunda,اَيْدَانْ,edan
Sunda,بࣤڠْهَارْ,běṅhar
Sunda,تَوَكَّلْ,tawakkal
Sunda,هَاوࣤكْ,hawěk
Sunda,نُمَاوِىْ,numawi
Sunda,دِنَامِيَانْ,dinamian
Sunda,الْمُتَّقِينْ,al-muttaqin
Sunda,سࣤئࣤرْنَا,sěěrna
Sunda,لِمَا,lima
Sunda,سَسُوَايْ,sasuai
Sunda,رُكُنْ,rukun
Sunda,اࣤيَا,ěya
Sunda,فࣤرْكَرَا,pěrkara
Sunda,كَاهِجِ,kahiji
Sunda,بَدَيْ,bade
Sunda,تَفَكُّرْ,tapakkur
Sunda,ۑَا,ña
Sunda,اَيْتَ,eta
Sunda,كَۑَهَوْكࣤنْ,kañaokěn
Sunda,هِجِ,hiji
Sunda,ڠَرُكْسَكْ,ṅaruksak
Sunda,كَهَادَيْيَنْ,kahadean
Sunda,فِكࣤنْ,pikěn
Sunda,تَقْوٰى,taqwā
Sunda,تِيَاسَ,tiasa
Sunda,ڠَڠْڮرَانْ,ṅaṅgran
Sunda,كࣤرْ,kěr
Sunda,نُجُوْ,nuju
Sunda,عَمَلْ,'amal
Sunda,صَالِحْ,ṣaliẖ
Sunda,جَلَمَ,jalama
Sunda,سَلَامِيْنَا,salamina
Sunda,دِنَا,dina
Sunda,كَبَڮْجَائَنَ,kabagjaana
Sunda,ڠَدَاوُهْ,ṅadawuh
Sunda,يَوْمَئِذٍ,yaumaiḋin
Sunda,يَصْدُرُ,yaṣduru
Sunda,النَّاسُ,an-nasu
Sunda,اَشْتَاتًا,aśtatan
Sunda,لِّيُرَوْا,lliyurau
Sunda,اَعْمَالَهُمْ,a'malahum
Sunda,فَمَنْ,paman
Sunda,يَعْمَلْ,ya'mal
Sunda,مِثْقَالَ,miṫqala
Sunda,ذَرَّةٍ,ḋarratin
Sunda,خَيْرًا,ḵairan
Sunda,يَّرَهُ,yyarahu
Sunda,وَمَنْ,waman
Sunda,يَّعْمَلْ,yya'mal
Sunda,شَرًّا,śarran
Sunda,هَرْتَوسْنَا,hartosna
Sunda,فَوْوَيْ,powe
Sunda,ايْتَ,ita
Sunda,جَلْمَ٢,jalma2
Sunda,بَكَلْ,bakal
Sunda,اِنْدِيتْ,indit
Sunda,فَبُوْرِسَتْ,paburisat
Sunda,لَنْتَرَانْ,lantaran
Sunda,كَمَرَانَيهْنَا,kamaranehna
Sunda,بَارِسْ,baris
Sunda,دِتَيمْبَوڠْكࣤنْ,ditemboṅkěn
Sunda,سَڮَلَ,sagala
Sunda,فَڮَوَبْيَنَنَا,pagawabyanana
Sunda,سِڠْ,siṅ
Sunda,سَهَا,saha
Sunda,اَنَوْ,ano
Sunda,ڠَالَمْفَهْكࣤنْ,ṅalampahkěn
Sunda,سَنَجَنْ,sanajan
Sunda,ڠَنْ,ṅan
Sunda,بࣤرَاتْ,běrat
Sunda,كࣤبُولْ,kěbul
Sunda,مُسْتِى,musti
Sunda,مَنَيهْنَا,manehna
Sunda,نَينْجَوْ,nenjo
Sunda,هَدَيْنَا,hadena
Sunda,ڠَلَمفَهْكࣤنْ,ṅalampahkěn
Sunda,كَجَهَاتَنْ,kajahatan
Sunda,سَابࣤرَاتْ,saběrat
Sunda,فَسْتِى,pasti
Sunda,مَنَهْنَا,manahna
Sunda,جَهَتْنَا,jahatna
Sunda,شَعِيرْ,śa'ir
Sunda,هَدَيْ,hade
Sunda,فِوࣤلَسْ,piwělas
Sunda,سَااࣤتِيكْ,saětik
Sunda,ۑَرِتَا,ñarita
Sunda,لَوْبَا,loba
Sunda,دِڮَوَيْ,digawe
Sunda,سَبَالِكْنَا,sabalikna
Sunda,مَوْاَلْ,moal
Sunda,دِفِوࣤلَسْ,dipiwělas
Sunda,جَلْمَ,jalma
Sunda,عَمَلْنَا,'amalna
Sunda,ڮَوْرَيْڠ,goreṅ
Sunda,تَفِى,tapi
Sunda,بَرِيْ,bari
Sunda,تࣤبِسَا,těbisa
Sunda,كِتُوْ,kitu
Sunda,ڮࣤرَا,gěra
Sunda,فࣤرَاكْ,pěrak
Sunda,ڠَمَلْكࣤنْ,ṅamalkěn
Sunda,نُوْ,nu
Sunda,هَادَيْ٢,hade2
Sunda,تࣤبِهَانْ,těbihan
Sunda,تࣤهَادَيْ,těhade
Sunda,سُفَادَوسْ,supados
Sunda,كَيْڠِيْڠ,keṅiṅ
Sunda,شُرْڮَا,śurga
Sunda,نَرَاكَ,naraka
Sunda,اَنْتَرَانَا,antarana
Sunda,اُوْفَمِى,upami
Sunda,هَوْيَوڠْ,hoyoṅ
Sunda,كَبَڮْجُأَنْ,kabagjuan
Sunda,سِڠْ,siṅ
Sunda,ڮࣤتَولْ,gětol
Sunda,صَلَاةْنَا,ṣalatna
Sunda,ذِكِرْنَا,ḋikirna
Sunda,تَحَجُّدْنَا,taẖajjudna
Sunda,فُوَاسَنَا,puasana
Sunda,سࣤئࣤرْ٢,sěěr2
Sunda,دࣤئِى,děi
Sunda,اُوْلَهُ,ulahu
Sunda,جَدِىْ,jadi
Sunda,سَوكْ,sok
Sunda,ڠࣤلَاكُوْكَنْ,ṅělakukan
Sunda,مَعْصِيَةْ,ma'ṣiyat
Sunda,اَللهْ,allāh
Sunda,سَفࣤرْتِ,sapěrti
Sunda,ڠِنُومْ,ṅinum
Sunda,اَرَاكْ,arak
Sunda,مَابَوكْ٢,mabok2
Sunda,ڠَلَڠْڮَرْ,ṅalaṅgar
Sunda,دِچࣤڮَهْ,dicěgah
Sunda,حُكُمْ,ẖukum
Sunda,شَرَعْ,śara'
Sunda,تَعَلٰى,ta'alā
Sunda,فِرْمَانْ,pirman
Sunda,قُرْاٰنْ,qurān
Sunda,يَآيُّهَا,yaāyyuha
Sunda,الَّذِيْنَ,allaḋina
Sunda,اٰمَنُوْا,āmanu
Sunda,لَا,la
Sunda,تَقْرَبُوا,taqrabu
Sunda,الصَّلٰوةَ,aṣ-ṣalāwta
Sunda,وَاَنْتُمْ,waantum
Sunda,سُكَرٰى,sukarā
Sunda,حَتّٰٰٰٰى,ẖattāāāā
Sunda,تَعْلَمُوْا,ta'lamu
Sunda,تَقُوْلُوْنَ,taquluna
Sunda,هَيْ,he
Sunda,اَرِيْمَانْ,ariman
Sunda,فَوْمَا,poma
Sunda,مَرَانَيهْ,maraneh
Sunda,اُوْلَهْ,ulah
Sunda,دࣤكࣤتْ٢,děkět2
Sunda,كَنَ,kana
Sunda,مَبَوكْ,mabok
Sunda,مَهْ,mah
Sunda,مَيْمَيهْ,memeh
Sunda,تࣤرَاڠْ,těraṅ
Sunda,سَنِيسْكَارَا,saniskara
Sunda,دِاُوْچَفْكࣤنْ,diucapkěn
Sunda,ۑَڠْكَا,ñaṅka
Sunda,تࣤمَاكَيْ,těmake
Sunda,رُكُوعْ,ruku'
Sunda,سُجُودْ,sujud
Sunda,حَاضِرْ,ẖaḏir
Sunda,هَاتَيْ,hate
Sunda,بَرِىْ,bari
Sunda,اَيْمُوتْ,emut
Sunda,كَااَللّٰهْ,kaallāh
Sunda,وَتَعَلٰى,wata'alā
Sunda,سَبْدَا,sabda
Sunda,وَسَلَّمَ,wasallama
Sunda,صَلَاةَ,ṣalata
Sunda,اِلَّا,illa
Sunda,بِحُضُوْرِ,biẖuḏuri
Sunda,الْقَلْبِ,al-qalbi
Sunda,چَنْ,can
Sunda,دِسࣤبُوتْ,disěbut
Sunda,حَضِرْ,ẖaḏir
Sunda,هَاتَيْنَا,hatena
Sunda,دَاوُهَنَنَا,dawuhanana
Sunda,بِسَا,bisa
Sunda,اِسْتِقَامَةْ,istiqamat
Sunda,كُوْدُ,kudu
Sunda,تࣤتࣤفْ,tětěp
Sunda,سِيࣤنْ,siyěn
Sunda,سَئࣤتِكْ,saětik
Sunda,بَرَاڠْ,baraṅ
Sunda,تُوَاڠْ,tuaṅ
Sunda,چَچَارِيَوْسَنْ,cacariosan
Sunda,كُولࣤمْ,kulěm
Sunda,قَنَاعَةْ,qana'at
Sunda,سࣤبَبْ,sěbab
Sunda,فَلَجَرَانْ,palajaran
Sunda,دِلُهُورْ,diluhur
Sunda,بِيࣤ,biyě
Sunda,اَوْلَهْ,olah
Sunda,تَيهْ,teh
Sunda,تࣤمْفَتْ,těmpat
Sunda,ۑَيَڠْنَا,ñayaṅna
Sunda,شَيْطَانْ,śeṯan
Sunda,مَكَ,maka
Sunda,دِمَنَاڮࣤسْ,dimanagěs
Sunda,مࣤنَڠْ,měnaṅ
Sunda,فِتُوْلُوڠْ,pituluṅ
Sunda,دُوڮِى,dugi
Sunda,كَامَوتْنَا,kamotna
Sunda,دِاُوْبَرَانْ,diubaran
Sunda,ڮࣤسْ,gěs
Sunda,لَوبَ,loba
Sunda,سَلَهْنَا,salahna
Sunda,مَتَكْ,matak
Sunda,فَائَيهْ,paeh
Sunda,دِمَنَا,dimana
Sunda,تُتُمْفَاكَنْ,tutumpakan
Sunda,كࣤنْدَرَأَنْ,kěndaraan
Sunda,اَرَانْجࣤنْ,aranjěn
Sunda,چࣤكْ,cěk
Sunda,تِنَا,tina
Sunda,بَسَا,basa
Sunda,مَرَانَيْهَنَنَا,maranehanana
Sunda,فِكِرَانْ,pikiran
Sunda,ڠَهِجِنَا,ṅahijina
Sunda,كَرَاكْسَا,karaksa
Sunda,دُڮِى,dugi
Sunda,اَخَيْرَةْ,aḵerat
Sunda,اِنَّهُ,innahu
Sunda,اَلتَّفَكُّرُ,at-tapakkuru
Sunda,الْاٰخِرَةِ,al-āḵirati
Sunda,يُوْرِثُ,yuriṫu
Sunda,لْحِكْمَةَ,lẖikmata
Sunda,يُحْيِ,yuẖyi
Sunda,الْقَلْبَ,al-qalba
Sunda,وَالتَّفَكُّرُ,wattapakkuru
Sunda,الدُّنْيَا,ad-dunya
Sunda,حِجَابٌ,ẖijabun
Sunda,عَلَى,'ala
Sunda,تࣤمࣤنْ٢نَا,těměn2na
Sunda,فِكِرْ,pikir
Sunda,ڠَلِيْفُوْتَنْ,ṅaliputan
Sunda,حِكْمَةْ,ẖikmat
Sunda,ڠَاهِيْرُفْكࣤنْ,ṅairupkěn
Sunda,ڠَاحِجَابْ,ṅaẖijab
Sunda,ڠَاهَلَاڠْ٢,ṅahalaṅ2
Sunda,دِسِكْسَا,disiksa
Sunda,لࣤوِهْ,lěwih
Sunda,تِبَاتَانْ,tibatan
Sunda,فࣤڮَتْ,pěgat
Sunda,مَوتْ,mot
Sunda,ذِكِرْ,ḋikir
Sunda,چَونْتَوْنَا,contona
Sunda,تَوْحِيْدمَعْرِفَةْ,toẖidma'ripat
Sunda,تَنْدَانَا,tandana
Sunda,اِيْمَانْ,iman
Sunda,رَسُوْلُ,rasulu
Sunda,اللّٰٰهِ,allāāhi
Sunda,اَلْاِيْمَانُ,al-imanu
Sunda,بَيْنَ,baina
Sunda,الخَوْفِ,al-ḵaupi
Sunda,وَالرَّجَاءِ,war-raja`i
Sunda,وَيُقَدَّمُ,wayuqaddamu
Sunda,الرَّجَاءِ,ar-raja`i
Sunda,هُوَا,hua
Sunda,الْفَرْعُ,al-par'u
Sunda,اَصْلَ,aṣla
Sunda,لَهُ,lahu
Sunda,فَرْعَ,par'a
Sunda,ڠَارࣤفْ٢,ṅarěp2
Sunda,عِبَرَاتْ,'ibarat
Sunda,دَهَنَا,dahana
Sunda,تࣤبَوْڮَا,těboga
Sunda,تَڠْكَلْ,taṅkal
Sunda,بࣤرْاَرْتِى,běrarti
Sunda,دَاهَنْ,dahan
Sunda,كَتࣤرَاڠَنْ,katěraṅan
Sunda,بُوَاهْنَا,buahna
Sunda,تَوْبَةْ,tobat
Sunda,رَجَاءْ,raja`
Sunda,تࣤسِيࣤنْ,těsiyěn
Sunda,تࣤمࣤنَڠْ,těměnaṅ
Sunda,اُوْفَمِىْ,upami
Sunda,تَفِىْ,tapi
Sunda,دَوْسَ,dosa
Sunda,ڮࣤدَيْ,gěde
Sunda,سَمِى,sami
Sunda,خِلَافْ,ḵilap
Sunda,كَچِدَا,kacida
Sunda,فِيْسَنْ,pisan
Sunda,نَنَا,nana
Sunda,صَيْحَةْ,ṣeẖat
Sunda,ڠَيْلَيهْكࣤنْ,ṅelehkěn
Sunda,كَجَاهَتَنْ,kajahatan
Sunda,ڠَبِيَاسَكࣤنْ,ṅabiasakěn
Sunda,مِڮَوَيْ,migawe
Sunda,كَيْڠِيڠْ,keṅiṅ
Sunda,كِتُو,kitu
Sunda,كَااَيَأَنَنَا,kaayaanana
Sunda,اَسُوفْ,asup
Sunda,شُورْڮَا,śurga
Sunda,تَنْدَا٢,tanda2
Sunda,اَهْلِ,ahli
Sunda,سَلَافَنْ,salapan
Sunda,تࣤڠَهْ,těṅah
Sunda,وࣤڠِىْ,wěṅi
Sunda,مُوْرَهْ,murah
Sunda,اࣤدَبْ,ědab
Sunda,تَوَاضُعْ,tawaḏu'
Sunda,رࣤنْدَاهْ,rěndah
Sunda,دِيْرِيْ,diri
Sunda,ڠَبࣤرْسِهْكࣤنْ,ṅaběrsihkěn
Sunda,دِيْرِنَا,dirina
Sunda,دِسࣤبُوةْ,disěbut
Sunda,فِيْكِرْ,pikir
Sunda,ۑَااَيْتَ,ñaeta
Sunda,اَوْلِيَاءْ,olia`
Sunda,اَنْبِيَاءْ,anbia`
Sunda,سِيࣤنَا,siyěna
Sunda,دِچَائَڠْكࣤنْ,dicaaṅkěn
Sunda,چَائَڠْ,caaṅ
Sunda,دِفَاسِهَنْ,dipasihan
Sunda,نُورْ,nur
Sunda,تࣤمْبُوسْ,těmbus
Sunda,نࣤفِى,něpi
Sunda,ڠَبَيْدَاكࣤنْ,ṅabedakěn
Sunda,نُوْهَادَيْ,nuhade
Sunda,نُوْڮَوْرَيڠْ,nugoreṅ
Sunda,سَلِيْلَانَا,salilana
Sunda,كَبَڮْجَاءَنْ,kabagja`an
Sunda,دِفِكَارِضَا,dipikariḏa
Sunda,دِكَفْلِڠْ,dikapliṅ
Sunda,كَااَيَائَنْ,kaayaan
Sunda,رُوْڮِىْ,rugi
Sunda,تَنْدَا,tanda
Sunda,ڠَرَاسَ,ṅarasa
Sunda,لُهُورْ,luhur
Sunda,فَڠْكَتْنَا,paṅkatna
Sunda,فَوْهَوْ,poho
Sunda,هَرْتَا,harta
Sunda,صَدَقَهْ,ṣadaqah
Sunda,چِنْتَا,cinta
Sunda,فَڮَوَيْيَنْ,pagaweyan
Sunda,فَفَاكَيْيَانْ,papakean
Sunda,اَوَيْوَيْ,awewe
Sunda,سَارَيَْ,sare
Sunda,دَاهَرْ,dahar
Sunda,ڠِنُومْنَا,ṅinumna
Sunda,رُوْڮِى,rugi
Sunda,رُكْسَكْ,ruksak
Sunda,دُنْيَانَا,dunyana
Sunda,اَڮَامَنَا,agamana
Sunda,سَتࣤرُسْنَا,satěrusna
Sunda,سَسَارْ,sasar
Sunda,سَسَار,sasar
Sunda,فَئَيهْ,paeh
Sunda,فَڮَوَيْيَنَنَا,pagaweyanana
Sunda,بَيْدَانَا,bedana
Sunda,اَيْلِيْڠ,eliṅ
Sunda,ڠَدُعَاءْ,ṅadu'a`
